file,npaths,nss,time_s,nodes,edges,k_max
randomBN_40N93E4KMAX_10.bnet,90954,16,0.8371012210845947,40,93,4
randomBN_60N156E4KMAX_1.bnet,59804,8,0.6986348628997803,60,156,4
randomBN_80N197E4KMAX_17.bnet,34512,4,0.5032382011413574,80,197,4
randomBN_80N150E3KMAX_15.bnet,11562,6,0.5650863647460938,80,150,3
randomBN_60N173E5KMAX_10.bnet,29128,12,0.7563540935516357,60,173,5
randomBN_100N190E3KMAX_3.bnet,19776,2,0.3220674991607666,100,190,3
randomBN_60N142E4KMAX_8.bnet,67212,12,0.8461735248565674,60,142,4
randomBN_80N111E2KMAX_16.bnet,1348,8,0.7439343929290771,80,111,2
randomBN_80N113E2KMAX_14.bnet,1552,8,0.7649462223052979,80,113,2
randomBN_60N152E4KMAX_20.bnet,3736,16,0.875739574432373,60,152,4
randomBN_80N148E3KMAX_9.bnet,6004,8,0.7533657550811768,80,148,3
randomBN_80N119E2KMAX_19.bnet,1512,8,0.7772846221923828,80,119,2
randomBN_80N113E2KMAX_10.bnet,428,8,0.8200018405914307,80,113,2
randomBN_80N113E2KMAX_7.bnet,1584,8,0.8391578197479248,80,113,2
randomBN_60N117E3KMAX_5.bnet,16198,16,0.972287893295288,60,117,3
randomBN_80N159E3KMAX_13.bnet,14715,9,0.8153550624847412,80,159,3
randomBN_100N197E3KMAX_6.bnet,37773,2,0.4213006496429443,100,197,3
randomBN_80N145E3KMAX_6.bnet,13660,8,0.8558821678161621,80,145,3
randomBN_80N154E3KMAX_18.bnet,20358,8,0.8451414108276367,80,154,3
randomBN_60N143E4KMAX_18.bnet,128670,8,1.007706880569458,60,143,4
randomBN_100N144E2KMAX_11.bnet,2890,4,0.558483362197876,100,144,2
randomBN_100N194E3KMAX_8.bnet,32106,3,0.4723632335662842,100,194,3
randomBN_60N90E2KMAX_19.bnet,8418,20,1.062922477722168,60,90,2
randomBN_100N151E2KMAX_10.bnet,1120,4,0.5461452007293701,100,151,2
randomBN_60N125E4KMAX_13.bnet,30762,16,1.0731956958770752,60,125,4
randomBN_100N144E2KMAX_1.bnet,2812,4,0.641106128692627,100,144,2
randomBN_80N147E3KMAX_1.bnet,18069,10,1.027702569961548,80,147,3
randomBN_80N146E3KMAX_5.bnet,5716,12,1.0381402969360352,80,146,3
randomBN_80N183E4KMAX_16.bnet,69007,8,1.0044958591461182,80,183,4
randomBN_80N116E2KMAX_8.bnet,2515,12,1.1207823753356934,80,116,2
randomBN_60N130E4KMAX_12.bnet,163646,8,1.2589669227600098,60,130,4
randomBN_80N145E3KMAX_17.bnet,9758,8,1.1851599216461182,80,145,3
randomBN_80N236E5KMAX_6.bnet,188405,7,1.0774099826812744,80,236,5
randomBN_80N151E3KMAX_19.bnet,33486,12,1.204045295715332,80,151,3
randomBN_60N116E3KMAX_19.bnet,7115,26,1.3670382499694824,60,116,3
randomBN_80N149E3KMAX_14.bnet,19280,12,1.2343544960021973,80,149,3
randomBN_60N82E2KMAX_16.bnet,3462,26,1.450080156326294,60,82,2
randomBN_60N154E4KMAX_14.bnet,218132,12,1.4296019077301023,60,154,4
randomBN_60N173E5KMAX_13.bnet,119802,12,1.4783799648284912,60,173,5
randomBN_60N158E5KMAX_3.bnet,420786,6,1.4867777824401855,60,158,5
randomBN_60N133E4KMAX_17.bnet,178098,12,1.5553269386291504,60,133,4
randomBN_100N136E2KMAX_8.bnet,2876,8,1.1279799938201904,100,136,2
randomBN_60N146E4KMAX_6.bnet,236964,6,1.6036014556884766,60,146,4
randomBN_100N148E2KMAX_9.bnet,4336,8,1.114659070968628,100,148,2
randomBN_100N196E3KMAX_15.bnet,24037,8,1.1081671714782717,100,196,3
randomBN_100N191E3KMAX_19.bnet,25318,8,1.128824234008789,100,191,3
randomBN_80N120E2KMAX_9.bnet,256,16,1.553424835205078,80,120,2
randomBN_60N167E5KMAX_6.bnet,50100,8,1.67004656791687,60,167,5
randomBN_100N141E2KMAX_17.bnet,1472,8,1.2770040035247805,100,141,2
randomBN_80N190E4KMAX_13.bnet,165993,6,1.5406410694122314,80,190,4
randomBN_60N172E5KMAX_20.bnet,167202,17,1.7470359802246094,60,172,5
randomBN_100N144E2KMAX_12.bnet,3746,10,1.4495346546173096,100,144,2
randomBN_100N200E3KMAX_9.bnet,76969,8,1.40891695022583,100,200,3
randomBN_80N115E2KMAX_13.bnet,4468,20,1.8818862438201904,80,115,2
randomBN_80N218E5KMAX_3.bnet,297417,8,1.894392251968384,80,218,5
randomBN_80N152E3KMAX_16.bnet,22432,16,1.957371473312378,80,152,3
randomBN_100N195E3KMAX_17.bnet,71276,8,1.5814404487609863,100,195,3
randomBN_100N200E3KMAX_10.bnet,69120,8,1.8179404735565183,100,200,3
randomBN_80N189E4KMAX_11.bnet,76211,16,2.306015491485596,80,189,4
randomBN_80N184E4KMAX_20.bnet,346744,10,2.362477302551269,80,184,4
randomBN_60N179E5KMAX_15.bnet,285183,7,2.537754535675049,60,179,5
randomBN_60N81E2KMAX_13.bnet,296,48,2.608628511428833,60,81,2
randomBN_100N142E2KMAX_18.bnet,3426,16,2.2553725242614746,100,142,2
randomBN_100N224E4KMAX_8.bnet,219906,8,2.323992729187012,100,224,4
randomBN_80N221E5KMAX_15.bnet,710796,8,2.7564845085144043,80,221,5
randomBN_100N145E2KMAX_13.bnet,3288,16,2.534507274627685,100,145,2
randomBN_100N205E3KMAX_12.bnet,97451,9,2.4478204250335693,100,205,3
randomBN_100N240E4KMAX_3.bnet,130254,8,2.385622024536133,100,240,4
randomBN_60N162E5KMAX_17.bnet,442656,12,3.081233024597168,60,162,5
randomBN_80N157E3KMAX_7.bnet,196636,20,3.3057754039764404,80,157,3
randomBN_100N146E2KMAX_14.bnet,6456,24,3.394805192947388,100,146,2
randomBN_80N189E4KMAX_12.bnet,444165,16,4.222352743148804,80,189,4
randomBN_60N160E5KMAX_14.bnet,1143156,16,4.658114910125732,60,160,5
randomBN_100N206E3KMAX_20.bnet,63344,24,4.158608675003052,100,206,3
randomBN_80N181E4KMAX_14.bnet,478994,8,4.585179567337036,80,181,4
randomBN_60N169E5KMAX_18.bnet,762260,22,4.758370399475098,60,169,5
randomBN_100N139E2KMAX_3.bnet,9284,32,4.525520086288452,100,139,2
randomBN_100N303E5KMAX_12.bnet,533732,8,4.5423359870910645,100,303,5
randomBN_100N237E4KMAX_1.bnet,748717,4,4.708618640899658,100,237,4
randomBN_60N165E5KMAX_12.bnet,847032,18,5.4489905834198,60,165,5
randomBN_60N174E5KMAX_11.bnet,696845,8,5.837653636932373,60,174,5
randomBN_100N251E4KMAX_7.bnet,435878,8,5.636366367340088,100,251,4
randomBN_80N194E4KMAX_6.bnet,1594849,4,6.073966503143311,80,194,4
randomBN_80N191E4KMAX_4.bnet,804061,8,6.950201749801636,80,191,4
randomBN_80N199E4KMAX_15.bnet,2001049,12,7.233858346939087,80,199,4
randomBN_100N200E3KMAX_7.bnet,345070,32,7.265932559967041,100,200,3
randomBN_100N224E4KMAX_16.bnet,1499211,10,7.300478219985962,100,224,4
randomBN_60N178E5KMAX_2.bnet,2239079,9,9.28480577468872,60,178,5
randomBN_80N188E4KMAX_8.bnet,703352,12,10.9298894405365,80,188,4
randomBN_80N182E4KMAX_7.bnet,942064,16,11.226457118988035,80,182,4
randomBN_80N226E5KMAX_2.bnet,1844844,8,11.350355386734009,80,226,5
randomBN_80N224E5KMAX_12.bnet,1582506,8,13.07383108139038,80,224,5
randomBN_80N209E4KMAX_5.bnet,4060543,6,16.20290970802307,80,209,4
randomBN_100N190E3KMAX_5.bnet,727844,48,16.992826223373413,100,190,3
randomBN_100N151E2KMAX_15.bnet,46464,116,18.92882466316223,100,151,2
randomBN_100N243E4KMAX_6.bnet,2673814,2,19.18207049369812,100,243,4
randomBN_100N193E3KMAX_4.bnet,615860,32,25.80672550201416,100,193,3
randomBN_80N234E5KMAX_17.bnet,6648149,14,27.94689917564392,80,234,5
randomBN_60N184E5KMAX_5.bnet,5887314,8,30.75232625007629,60,184,5
randomBN_100N231E4KMAX_13.bnet,2379694,24,42.04543399810791,100,231,4
randomBN_100N254E4KMAX_4.bnet,3705068,6,42.64697456359863,100,254,4
randomBN_100N207E3KMAX_1.bnet,6470961,20,43.242194175720215,100,207,3
randomBN_100N225E4KMAX_17.bnet,3870328,8,50.59868001937866,100,225,4
randomBN_100N223E4KMAX_20.bnet,4294522,8,54.41908812522888,100,223,4
randomBN_80N234E5KMAX_1.bnet,6258600,24,56.63415884971619,80,234,5
randomBN_80N241E5KMAX_9.bnet,11257498,2,57.92288541793823,80,241,5
randomBN_100N308E5KMAX_9.bnet,5485220,8,58.714982748031616,100,308,5
randomBN_100N255E4KMAX_9.bnet,8505761,16,69.20089030265808,100,255,4
randomBN_100N275E5KMAX_17.bnet,6626976,12,69.4251639842987,100,275,5
randomBN_100N230E4KMAX_11.bnet,9970841,8,95.03562951087952,100,230,4
randomBN_100N299E5KMAX_16.bnet,6600524,4,110.33529043197632,100,299,5
randomBN_100N279E5KMAX_10.bnet,26713367,1,140.7038505077362,100,279,5
randomBN_100N289E5KMAX_11.bnet,48237916,8,177.87379336357117,100,289,5
randomBN_80N226E5KMAX_19.bnet,39007520,4,244.7914879322052,80,226,5
randomBN_100N268E4KMAX_5.bnet,30858489,16,256.55365681648254,100,268,4
randomBN_100N260E4KMAX_10.bnet,22896346,12,316.5051350593567,100,260,4
randomBN_100N296E5KMAX_1.bnet,21602380,6,317.42460560798645,100,296,5
randomBN_100N293E5KMAX_13.bnet,40722104,14,349.9982330799103,100,293,5
randomBN_100N239E4KMAX_12.bnet,41886082,17,521.7771694660187,100,239,4
randomBN_100N307E5KMAX_19.bnet,76840541,8,626.3849141597748,100,307,5
randomBN_100N251E4KMAX_15.bnet,95580504,8,676.0289978981018,100,251,4
randomBN_80N223E5KMAX_13.bnet,113397688,26,1057.515416622162,80,223,5
randomBN_100N288E5KMAX_5.bnet,196593876,8,1734.315190076828,100,288,5
randomBN_80N249E5KMAX_14.bnet,138372354,8,1852.524453639984,80,249,5
randomBN_100N307E5KMAX_20.bnet,266344358,8,2349.6025738716125,100,307,5
randomBN_80N228E5KMAX_8.bnet,500912571,10,2669.035778284073,80,228,5
randomBN_100N297E5KMAX_6.bnet,866127279,12,7896.278342962265,100,297,5
randomBN_100N305E5KMAX_3.bnet,1274820258,12,16495.384999752045,100,305,5
randomBN_100N299E5KMAX_15.bnet,9509702246,28,88042.53160333633,100,299,5
